book_id,title,author,genres,tags,length,year,description
1,Dune,Frank Herbert,science fiction|space opera,desert|politics|epic|prophecy|empire,long,1965,"A noble family takes stewardship of a desert planet that is the only source of a substance prized across the galactic empire. A young heir navigates prophecy, betrayal and ecological survival as warring houses fight for control of the spice."
2,Dune Messiah,Frank Herbert,science fiction|space opera,desert|politics|prophecy|empire|messiah,medium,1969,The sequel follows the emperor who rose from the desert as he confronts the costs of power and the religion built around him. A conspiracy of priests and navigators plots against the throne on the desert world.
3,The Left Hand of Darkness,Ursula K. Le Guin,science fiction,gender|politics|cold|ambassador|anthropology,medium,1969,"An envoy arrives on a frozen planet whose inhabitants have no fixed sex, and must navigate alien politics and a long journey across the ice to forge an alliance between worlds."
4,A Wizard of Earthsea,Ursula K. Le Guin,fantasy,magic|coming of age|wizards|islands|dragons,medium,1968,"A gifted boy on an archipelago is sent to a school for wizards, unleashes a shadow through pride, and must journey across the islands to confront the darkness he set loose."
5,The Hobbit,J.R.R. Tolkien,fantasy|adventure,dragons|quest|wizards|treasure|cozy,medium,1937,"A home-loving hobbit is swept into an adventure with dwarves and a wizard to reclaim a treasure guarded by a dragon, growing braver across a long journey there and back again."
6,The Lord of the Rings,J.R.R. Tolkien,fantasy|epic,quest|magic|war|friendship|dragons,long,1954,A hobbit inherits a ring of terrible power and joins a fellowship on an epic quest across a vast world to destroy it before a dark lord can conquer everything.
7,Mistborn,Brandon Sanderson,fantasy,magic|heist|rebellion|empire|coming of age,long,2006,"In a world of ash and oppression a street thief discovers she can fuel magic by burning metals, and joins a daring crew plotting to topple an immortal tyrant."
8,The Name of the Wind,Patrick Rothfuss,fantasy,magic|music|university|coming of age|wizards,long,2007,"A gifted orphan recounts his rise from poverty to a legendary arcane university, chasing the truth about the creatures that murdered his family."
9,The Silent Patient,Alex Michaelides,thriller|mystery,psychological|twist|crime|art|obsession,medium,2019,"A celebrated painter shoots her husband then never speaks again. A psychotherapist becomes obsessed with unlocking her silence, and the truth arrives as a twist few readers see coming."
10,Gone Girl,Gillian Flynn,thriller|mystery,psychological|twist|marriage|crime|unreliable,medium,2012,"When a woman vanishes on her wedding anniversary her husband becomes the prime suspect, but alternating accounts reveal a marriage built on lies and a chilling, twisting deception."
11,The Girl with the Dragon Tattoo,Stieg Larsson,thriller|mystery,crime|investigation|hacker|cold|family secrets,long,2005,"A disgraced journalist and a brilliant antisocial hacker investigate a wealthy family's decades-old disappearance, uncovering buried violence in a cold Scandinavian setting."
12,And Then There Were None,Agatha Christie,mystery,crime|whodunit|isolation|classic|island,short,1939,"Ten strangers are lured to a remote island where they are killed one by one according to an old rhyme, and the survivors realize the murderer is among them."
13,The Murder of Roger Ackroyd,Agatha Christie,mystery,crime|whodunit|detective|village|twist,medium,1926,"A retired detective investigates a wealthy man's murder in an English village, in a classic whodunit famous for one of the genre's most audacious twists."
14,Murder on the Orient Express,Agatha Christie,mystery,crime|whodunit|detective|train|travel,short,1934,A detective trapped by snow aboard a stalled luxury train must unmask which passenger murdered an American tycoon before the line is cleared.
15,The Tokyo Zodiac Murders,Soji Shimada,mystery,crime|whodunit|japan|puzzle|cold case,medium,1981,An astrologer and an illustrator reinvestigate a decades-old series of grisly killings in Japan built on an elaborate astrological puzzle that has baffled detectives.
16,Malice,Keigo Higashino,mystery,crime|whodunit|japan|psychological|detective,medium,1996,"A bestselling novelist is found murdered in his locked study in Tokyo, and a methodical detective must untangle a confession that hides a darker motive."
17,The Devotion of Suspect X,Keigo Higashino,mystery|thriller,crime|japan|psychological|mathematician|love,medium,2005,"A quiet mathematics teacher in Japan constructs a perfect alibi to protect the neighbor he loves after she kills her abusive ex, but a rival physicist sees through it."
18,The House in the Cerulean Sea,TJ Klune,fantasy,cozy|found family|magic|warm|orphans,medium,2020,"A by-the-book caseworker is sent to assess an orphanage of magical children on a sunlit island and finds unexpected warmth, love and a found family worth fighting for."
19,Legends & Lattes,Travis Baldree,fantasy,cozy|warm|low stakes|coffee|found family,short,2022,"A battle-weary orc retires from adventuring to open a coffee shop in a fantasy city, and builds a gentle, low-stakes life and a found family among quirky regulars."
20,A Man Called Ove,Fredrik Backman,literary fiction,cozy|warm|grief|community|heartwarming,medium,2012,"A grumpy widower whose rigid routines mask deep grief is slowly pulled back into life by boisterous new neighbors in a heartwarming, feel-good story of community."
21,The House in the Night,Susan Marie,literary fiction,cozy|warm|small town|family|gentle,short,2015,"In a quiet seaside town a retired teacher reconnects with estranged family over a single summer, a gentle warm-hearted story of second chances and belonging."
22,Normal People,Sally Rooney,literary fiction,romance|class|emotional|prose|coming of age,medium,2018,"Two Irish teenagers from different classes circle each other through school and university in a quiet, precise study of intimacy, miscommunication and love."
23,A Little Life,Hanya Yanagihara,literary fiction,emotional|trauma|friendship|sad|prose,long,2015,"Four college friends move to New York, but the novel centers on one man's hidden history of abuse in a devastating, deeply character-driven and sorrowful epic."
24,Beloved,Toni Morrison,literary fiction,historical|slavery|haunting|sad|prose,medium,1987,"A formerly enslaved woman in post-Civil-War Ohio is haunted by the ghost of her dead daughter, a towering, sorrowful meditation on memory and freedom."
25,Klara and the Sun,Kazuo Ishiguro,science fiction|literary fiction,emotional|artificial intelligence|prose|sad|future,medium,2021,"An artificial friend observes the human world with tender attention as she is chosen to care for an ailing child, a quiet, sorrowful meditation on love and what it means to be human."
26,Never Let Me Go,Kazuo Ishiguro,science fiction|literary fiction,emotional|clones|sad|prose|boarding school,medium,2005,"Students at a strange English boarding school slowly learn the heartbreaking purpose of their sheltered lives, a quiet and devastating dystopia about love and mortality."
27,The Martian,Andy Weir,science fiction,space|survival|humor|mars|problem solving,medium,2011,"An astronaut stranded alone on Mars must use ingenuity, botany and relentless humor to survive and signal Earth in a propulsive, upbeat tale of problem-solving."
28,Project Hail Mary,Andy Weir,science fiction,space|survival|humor|aliens|problem solving,long,2021,"A lone amnesiac astronaut wakes far from Earth on a desperate mission to save humanity, and an unexpected alien friendship powers a witty, upbeat survival adventure."
29,Snow Crash,Neal Stephenson,science fiction|cyberpunk,virtual reality|hacker|dystopia|fast|satire,long,1992,A pizza-delivering hacker and a teenage skateboard courier race through a fractured near-future America and a virtual metaverse to stop a mind-shattering digital plague.
30,Neuromancer,William Gibson,science fiction|cyberpunk,virtual reality|hacker|dystopia|noir|ai,medium,1984,"A washed-up console cowboy is hired for one last hack through cyberspace, pulled into a noir conspiracy involving rogue artificial intelligences in a neon dystopia."
31,Roadside Picnic,Arkady and Boris Strugatsky,science fiction,aliens|eerie|dystopia|cold war|obscure,short,1972,"In zones left behind by an inexplicable alien visit, scavengers risk death to retrieve strange artifacts, an eerie and obscure meditation on the unknowable."
32,Solaris,Stanislaw Lem,science fiction,aliens|eerie|psychological|ocean|obscure,medium,1961,"Scientists orbiting a sentient ocean planet are confronted by manifestations of their own memories, an eerie and cerebral study of the limits of human understanding."
33,Convenience Store Woman,Sayaka Murata,literary fiction,japan|quirky|society|short|offbeat,short,2016,"A woman in Tokyo who has worked at a convenience store for eighteen years resists society's expectations in a sharp, offbeat and quietly subversive short novel."
34,Before the Coffee Gets Cold,Toshikazu Kawaguchi,literary fiction,japan|cozy|time travel|warm|gentle,short,2015,"In a tiny Tokyo cafe a particular seat lets customers travel back in time for as long as a coffee stays warm, a gentle, cozy and heartwarming set of linked stories."
35,Strange Weather in Tokyo,Hiromi Kawakami,literary fiction,japan|romance|gentle|quiet|prose,short,2001,"A lonely woman in Tokyo strikes up a tender, unhurried romance with her former teacher over food and sake, a quiet and gently melancholic love story."
36,The Hound of the Baskervilles,Arthur Conan Doyle,mystery,crime|detective|gothic|moor|classic,short,1902,"A detective and his companion investigate a spectral hound said to haunt a moorland family, untangling a very human plot behind the gothic legend."
37,Children of Time,Adrian Tchaikovsky,science fiction,space|evolution|aliens|epic|far future,long,2015,"A terraforming experiment gone wrong uplifts a species of spiders over millennia while the last humans search for a new home, an epic of evolution and first contact."
38,The Three-Body Problem,Cixin Liu,science fiction,aliens|physics|first contact|epic|china,long,2008,"A secret military project makes contact with an alien civilization facing the chaos of three suns, setting humanity on a collision course in a vast, cerebral epic."
39,Piranesi,Susanna Clarke,fantasy,literary|mystery|labyrinth|surreal|prose,short,2020,"A gentle man lives alone in an endless labyrinth of statues and tides, keeping a journal, until clues suggest his world is not what it seems, an eerie and beautiful puzzle."
40,The Ocean at the End of the Lane,Neil Gaiman,fantasy,magic|childhood|memory|short|eerie,short,2013,"A man returns home and remembers a strange childhood encounter with an otherworldly family at the farm down the lane, a short, eerie and wistful modern fairy tale."
41,Hyperion,Dan Simmons,science fiction|space opera,space|pilgrimage|epic|mystery|far future,long,1989,"Seven pilgrims travel to a distant world and its deadly time-warping tombs, each telling a story that builds an epic, mournful mosaic of a galaxy on the brink of war."
42,A Fire Upon the Deep,Vernor Vinge,science fiction|space opera,space|aliens|epic|galaxy|ai,long,1992,"A reawakened ancient power threatens the galaxy while refugees flee to a remote world of pack-mind aliens, in a sweeping space opera of vast scope and strange biology."
43,Ancillary Justice,Ann Leckie,science fiction|space opera,space|ai|empire|revenge|identity,medium,2013,"A starship's artificial intelligence, now trapped in a single human body, hunts across an interstellar empire for revenge, questioning identity, gender and loyalty."
44,The Dispossessed,Ursula K. Le Guin,science fiction,politics|anarchism|physics|prose|ideas,medium,1974,"A brilliant physicist travels from his austere anarchist moon to the wealthy world below, in a thoughtful, ideas-driven study of two opposed societies."
45,Annihilation,Jeff VanderMeer,science fiction,eerie|surreal|expedition|nature|obscure,short,2014,"A biologist joins an expedition into a quarantined zone where nature has gone strange and inexplicable, an eerie, dreamlike descent into the unknowable."
46,The City and the City,China Mieville,science fiction|mystery,eerie|surreal|noir|cities|crime,medium,2009,"A detective investigates a murder spanning two cities that occupy the same space yet must be unseen by each other, a noir mystery wrapped in an eerie, surreal premise."
